tissue_name,uberon_id
liver,UBERON:0002107
brain,UBERON:0000955
prostate gland,UBERON:0002367
retina,UBERON:0000966
kidney,UBERON:0002113
breast,UBERON:0000310
prefrontal cortex,UBERON:0000451
skin of body,UBERON:0002097
blood,UBERON:0000178
primary motor cortex,UBERON:0001384
cingulate gyrus,UBERON:0002967
breast epithelium,UBERON:0008367
islet of Langerhans,UBERON:0000006
lung,UBERON:0002048
mouth mucosa,UBERON:0003729
bone marrow,UBERON:0002371
external soft tissue zone,UBERON:0034929
lumbar spinal cordz,UBERON:0002792
lumbar spinal cord,UBERON:0002793
cardiac muscle tissue,UBERON:0001133
dorsolateral prefrontal cortex,UBERON:0009834
lymph node,UBERON:0000029
skeletal muscle tissue,UBERON:0001134
omental fat pad,UBERON:0010414
aortic valve,UBERON:0002137
tricuspid valve,UBERON:0002134
spleen,UBERON:0002106
adrenal gland,UBERON:0002369
endometrium,UBERON:0001295
cerebral cortex,UBERON:0000956
prostate,UBERON:0002367
heart left ventricle,UBERON:0002084
adipose tissue,UBERON:0001013
thymus,UBERON:0002370
eye,UBERON:0000970
Brodmann (1909) area 22,UBERON:0013553
Brodmann (1909) area 21,UBERON:0013552
Brodmann (1909) area 47,UBERON:0006484
Brodmann (1909) area 9,UBERON:0013540
Brodmann (1909) area 46,UBERON:0006483
Brodmann (1909) area 44,UBERON:0006481
Brodmann (1909) area 40,UBERON:0013573
Brodmann (1909) area 39,UBERON:0006480
Brodmann (1909) area 6,UBERON:0006472
Brodmann (1909) area 45,UBERON:0006482
esophagus,UBERON:0001043
renal tubule,UBERON:0009773
heart,UBERON:0000948
bladder organ,UBERON:0018707
uterine cervix,UBERON:0000002
colon,UBERON:0001155
ovary,UBERON:0000992
placenta,UBERON:0001987
intestine,UBERON:0000160
testis,UBERON:0000473
thyroid gland,UBERON:0002046
trachea,UBERON:0003126
pancreas,UBERON:0001264
ileum,UBERON:0002116
nasopharynx,UBERON:0001728
Intestine,UBERON:0000160
stomach,UBERON:0000945
sigmoid colon,UBERON:0001159
anterior cruciate ligament of knee joint,UBERON:0003671
subcutaneous adipose tissue,UBERON:0002190
umbilical cord,UBERON:0002331
tongue,UBERON:0001723
fetal amnion,UBERON:0000305
chorion,UBERON:0003124
gonad,UBERON:0000991
bone tissue,UBERON:0002481
synovial membrane of synovial joint,UBERON:0002018
smooth muscle tissue,UBERON:0001135
cerebellum,UBERON:0002037
frontal cortex,UBERON:0001870
hippocampal field,UBERON:0003876
temporal lobe,UBERON:0001871
temporal cortex,UBERON:0016538
frontal pole,UBERON:0002795
epididymis,UBERON:0001301
heart right ventricle,UBERON:0002080
parathyroid gland,UBERON:0001132
uterus,UBERON:0000995
chorionic villus,UBERON:0007106
caudate nucleus,UBERON:0001873
putamen,UBERON:0001874
frontal lobe,UBERON:0016525
apical region of left ventricle,UBERON:0035835
ascending colon,UBERON:0001156
caecum,UBERON:0001153
middle frontal gyrus,UBERON:0002702
blood serum,UBERON:0001977
visual cortex,UBERON:0000411
cerebellar cortex,UBERON:0002129
myometrium,UBERON:0001296
colonic epithelium,UBERON:0000397
blood plasma,UBERON:0001969
skin epidermis ,UBERON:0001003
peritoneal cavity mesothelium,UBERON:0005669
cortex of kidney,UBERON:0001225
renal pelvis,UBERON:0001224
